CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,SatisfactionScore,LoyaltyLevel
1,60,Male,Canada,66143,9,7,44,Medium,62.38427136732282,Gold
2,28,Male,France,74832,10,8,39,High,81.24579155777447,Bronze
3,64,Female,Canada,87064,8,4,27,High,95.00700094964174,Bronze
4,52,Female,USA,91245,7,9,16,Medium,44.96727515076189,Bronze
5,68,Female,USA,110651,10,9,15,Medium,52.872875914122936,Silver
6,31,Male,France,119244,8,4,23,High,85.18073758826391,Silver
7,20,Male,Germany,54263,3,2,8,Low,4.05149266077984,Bronze
8,56,Female,France,115922,6,9,18,Low,26.758785377668644,Bronze
9,22,Female,UK,81730,7,2,40,Low,3.198388973965801,Silver
10,56,Male,UK,89740,8,10,35,Medium,67.03228340269493,Bronze
11,40,Female,USA,85285,9,5,31,Medium,51.356708819291676,Bronze
12,45,Male,Canada,66370,8,4,35,Low,16.95645984664728,Bronze
13,38,Female,UK,70549,10,6,5,Medium,67.79719422078006,Gold
14,50,Female,USA,89038,9,10,14,Low,29.37576641351162,Silver
15,30,Female,France,41525,7,4,25,High,77.79657821371143,Bronze
16,41,Female,USA,114488,6,9,23,Medium,67.44265775112883,Gold
17,35,Female,USA,93392,8,4,20,Medium,51.5668551669238,Bronze
18,49,Female,USA,119351,5,3,24,Low,33.32088967983895,Bronze
19,30,Male,UK,92813,7,7,8,Medium,68.12051563476109,Silver
20,44,Male,France,52863,4,1,28,Medium,53.26717245294853,Silver
21,39,Female,Germany,65416,1,7,5,Low,30.495349355097716,Bronze
22,48,Male,Germany,63212,8,6,13,Medium,53.02191865115523,Bronze
23,52,Male,France,92989,9,10,37,Medium,60.66625622337604,Bronze
24,68,Male,Germany,59439,10,1,40,Medium,54.55100897067267,Silver
25,51,Male,USA,82891,8,2,32,Low,11.411043186782843,Gold
26,65,Male,Canada,31074,1,10,34,Medium,42.782126437075995,Silver
27,38,Male,France,103270,4,2,16,Medium,64.52287359480569,Bronze
28,65,Female,Germany,38751,5,3,32,Medium,51.826242334130846,Bronze
29,42,Male,Germany,114821,2,3,44,Low,5.7217523414626905,Bronze
30,57,Male,USA,39166,4,3,17,Low,1.9869938596822938,Silver
31,68,Female,Canada,104127,4,3,24,Medium,63.99871757749938,Silver
32,29,Female,Canada,106496,7,8,13,Low,25.23564782666729,Bronze
33,38,Female,UK,100124,7,9,4,Medium,66.91475886680607,Silver
34,22,Female,Canada,40711,2,4,16,High,77.73323750040292,Bronze
35,60,Female,UK,52323,1,6,41,Medium,56.4433232232493,Gold
36,34,Female,USA,108648,10,2,40,High,74.34342591995453,Bronze
37,66,Female,UK,63832,5,6,24,Low,26.414136203966983,Silver
38,62,Male,France,111924,10,8,30,High,71.1987585955476,Bronze
39,60,Female,Germany,43006,8,4,1,Medium,54.791073257573345,Gold
40,50,Male,UK,68431,3,1,27,High,88.5465246142135,Gold
41,37,Female,USA,116672,1,7,39,Medium,63.62966409578778,Bronze
42,38,Male,UK,83103,3,7,25,Low,30.012289421988818,Bronze
43,28,Female,Germany,58147,2,9,46,Medium,61.47432155021222,Silver
44,41,Male,Germany,87012,5,5,41,High,99.73554454444897,Gold
45,35,Female,Germany,86697,8,2,20,High,80.31221472414384,Bronze
46,39,Female,USA,39278,7,1,19,Medium,45.39604520179456,Silver
47,31,Female,Canada,100712,9,5,40,High,86.45925704871033,Bronze
48,32,Male,UK,109643,2,9,6,Low,8.352179074558196,Gold
49,55,Male,Germany,70926,1,1,38,Low,27.923117674292595,Silver
50,67,Male,Germany,77370,7,7,9,Low,10.576662785502823,Gold
51,30,Male,Canada,108264,8,1,44,Medium,68.12749383546927,Bronze
52,49,Female,Canada,90162,6,3,8,Medium,50.63048635142026,Gold
53,19,Female,USA,112387,7,2,47,Medium,65.04551169630199,Bronze
54,57,Male,France,47159,9,2,4,Medium,42.928339733482254,Silver
55,50,Male,UK,98129,6,9,41,High,74.25270001913199,Bronze
56,58,Female,France,58034,7,1,9,Medium,47.10829398394176,Bronze
57,56,Female,France,73386,9,8,18,Low,13.027720398456154,Silver
58,67,Male,Germany,33958,8,5,31,Medium,43.67396732727224,Bronze
59,24,Female,Germany,104374,3,2,2,Medium,49.44585287254736,Bronze
60,55,Female,UK,37462,8,9,44,High,74.95722416037819,Silver
61,42,Female,France,67721,6,10,33,Medium,66.34053315488035,Bronze
62,51,Female,Canada,31732,10,9,30,High,71.63157439631063,Silver
63,46,Female,Germany,67180,2,10,44,High,96.64932365809997,Gold
64,55,Male,Germany,52220,6,5,11,Medium,62.05979753387307,Bronze
65,37,Female,Germany,94104,2,2,30,High,94.92720517229388,Silver
66,37,Male,France,111189,5,5,26,High,96.65235918303185,Silver
67,61,Male,USA,111569,10,7,2,Medium,51.61537051888817,Gold
68,42,Male,Canada,66613,6,3,13,Medium,66.9862550586902,Silver
69,19,Female,UK,102355,10,5,18,Low,28.831721628751637,Silver
70,35,Female,Germany,51966,10,6,18,High,74.91840183214771,Silver
71,67,Male,Germany,97042,4,6,14,High,75.04143098311742,Bronze
72,32,Female,UK,110825,4,9,28,Medium,62.09137926260624,Bronze
73,50,Female,UK,93801,6,10,20,Medium,65.6069171051655,Bronze
74,55,Female,Canada,54062,8,1,8,High,83.66710351934383,Bronze
75,46,Male,Canada,95106,9,8,46,Medium,63.01348807198033,Silver
76,61,Female,USA,54478,10,9,35,Low,3.0803355746580423,Bronze
77,65,Male,USA,37332,2,7,26,High,82.6857543738094,Bronze
78,22,Female,Canada,96158,2,9,9,Medium,45.019373068490964,Bronze
79,30,Male,Germany,107751,7,4,39,High,77.309864664323,Gold
80,30,Female,Canada,56609,7,3,14,Medium,42.841168285423116,Silver
81,33,Female,UK,71885,6,1,14,Low,6.618659744975641,Silver
82,37,Female,UK,113745,2,8,47,Medium,58.039941761080506,Gold
83,53,Female,USA,111009,6,2,33,Medium,58.723321260035675,Gold
84,41,Male,UK,102089,7,7,13,Low,13.399501852246388,Bronze
85,25,Female,UK,101682,7,6,48,Medium,60.766641656077766,Gold
86,43,Male,USA,49954,9,8,44,High,88.674470025183,Bronze
87,44,Female,USA,108599,8,3,2,High,89.81792403778596,Silver
88,28,Male,Germany,116437,6,4,20,Medium,64.22492499646978,Bronze
89,21,Male,USA,31242,1,9,16,High,99.15210269441968,Bronze
90,22,Male,Canada,65596,10,4,27,High,97.29928054065383,Bronze
91,62,Male,UK,54527,6,8,40,High,79.83584551228208,Silver
92,32,Male,Germany,103671,3,1,15,High,92.2684169475188,Bronze
93,67,Male,UK,107696,6,5,42,High,90.60056936457983,Gold
94,58,Male,Canada,51442,8,8,11,Medium,46.04936138181871,Silver
95,36,Female,UK,80459,9,3,46,Medium,48.81384676060712,Bronze
96,55,Male,USA,77340,9,9,19,Low,10.949436644913089,Silver
97,68,Female,Germany,65124,8,1,48,High,93.39602867417585,Silver
98,52,Female,UK,77989,5,6,36,Low,33.77648331173738,Silver
99,31,Male,France,94475,5,6,38,Low,32.263847060176005,Gold
